# index, name, _pos
415,T24H10.6,"array([14.53697315, 27.07292608])"
416,C17H12.14,"array([25.02160702,  7.95913538])"
417,E02H4.2,"array([24.26696893,  4.52879428])"
418,F53G12.4,"array([26.3665624 ,  8.92058758])"
419,ZK652.6,"array([24.9960367 , 10.34135861])"
420,C17H12.2,"array([ 38.35673747, -17.87708084])"
421,F32A11.6,"array([ 38.7830313 , -18.40097954])"
422,C17H12.4,"array([36.06425412,  1.94056496])"
423,C18A11.2,"array([20.39112827, 10.68794812])"
424,F47B8.3,"array([20.83924916,  9.04567035])"
425,C18A3.5,"array([40.77366157, 24.65317457])"
426,F56F3.6,"array([40.21540896, 25.06152041])"
427,C18B2.2,"array([23.36662388,  9.3790918 ])"
428,F52E4.7,"array([23.12639356,  7.34735885])"
429,C18B2.4,"array([-1.65519675,  4.06291492])"
430,ZK1127.10,"array([-1.0960791 ,  4.51617388])"
431,ZC123.4,"array([23.84528106,  8.86005332])"
432,C18C4.10,"array([-5.35644993,  6.95074851])"
433,ZK1098.10,"array([-5.21741022,  7.61444872])"
434,C18D1.3,"array([33.36959006, -5.00687247])"
435,C18D4.8,"array([25.17345682,  5.37708194])"
436,C18E3.9,"array([15.88586908, -0.7787427 ])"
437,C18E9.8,"array([25.04309038, -4.28312345])"
438,F54A5.1,"array([26.49382414, -5.12116515])"
439,Y105C5B.19,"array([23.38887808, -2.83575747])"
440,C25E10.10,"array([32.95066113, -4.07309105])"
441,F11A5.2,"array([33.59494374, -4.41031686])"
442,F25D1.5,"array([34.32284126, -4.75051424])"
443,F31D4.4,"array([33.45725331, -3.75768455])"
444,K05B2.3,"array([32.9532303 , -3.35164628])"
445,T20D4.17,"array([32.54382006, -5.0559583 ])"
446,Y34D9A.3,"array([33.82869163, -3.29097236])"
447,Y38E10A.3,"array([32.97938794, -4.64445865])"
448,Y49F6C.3,"array([33.31738626, -2.88245269])"
449,Y59A8A.1,"array([33.9794683 , -3.91901635])"
450,F44F1.7,"array([20.03929279,  4.42726799])"
451,C25A1.4,"array([21.93002809,  0.66634194])"
452,D1037.3,"array([15.34162456,  0.15698647])"
453,F10D11.2,"array([18.59692209,  0.67585497])"
454,F49E8.4,"array([17.2597279 ,  3.04337369])"
455,F54C9.11,"array([20.05468153,  1.99324303])"
456,Y61A9LA.9,"array([19.24279923,  0.88138904])"
457,Y75B8A.17,"array([16.43129458,  1.62877083])"
458,ZK270.2,"array([16.93254069,  2.50427028])"
459,C23G10.2,"array([29.95618658,  4.57781403])"
460,C23H3.7,"array([30.53227074,  5.34919607])"
461,C23H4.1,"array([29.71127143,  5.22437963])"
462,C24B5.5,"array([16.54839882, -1.54987725])"
463,C24D10.2,"array([30.37774481, -3.34060373])"
464,F11G11.4,"array([28.73771162, -2.77334903])"
465,W01B11.1,"array([31.41111754, -3.48974035])"
466,C24G6.1,"array([29.66084062,  0.85926346])"
467,F59E12.10,"array([28.25297209,  1.54915108])"
468,F53A10.2,"array([-3.18939254,  8.78299165])"
469,C49C3.6,"array([21.09593155, -0.84163705])"
470,F01G10.2,"array([23.80604176,  1.10041653])"
471,F26B1.2,"array([22.20536274,  0.84790172])"
472,F42A6.7,"array([21.75070976, -1.13224017])"
473,Y106G6D.7,"array([22.68530537,  2.5157091 ])"
474,Y59A8B.10,"array([21.83731456,  3.21971791])"
475,C25A1.7,"array([24.96210099, -6.34576312])"
476,Y56A3A.7,"array([23.82785506, -4.99471208])"
477,C25E10.7,"array([17.27173973,  1.34709714])"
478,C25E10.8,"array([29.84701478,  6.75528375])"
479,C25F6.1,"array([32.20242406, 24.0627624 ])"
480,Y105E8B.4,"array([32.57486629, 23.48441866])"
481,C25G4.4,"array([15.96034415,  1.6859393 ])"
482,F55C5.1,"array([13.58181694,  1.54154807])"
483,W06F12.1,"array([19.91356331,  0.73850899])"
484,C26B2.3,"array([21.58024489, -2.15025493])"
485,C26B2.6,"array([12.4690153 ,  2.25183334])"
486,K08H2.1,"array([13.9569693 ,  2.78650755])"
487,C26D10.1,"array([18.37743247, -3.42461918])"
488,C26E6.5,"array([30.30239581, -7.97544519])"
489,C26E6.7,"array([ 1.43595617, 10.33210066])"
490,T18D3.7,"array([ 1.2716746 , 11.15245178])"
491,C26F1.3,"array([ 30.4309885 , -13.65114606])"
492,C27A12.2,"array([29.8131538,  0.198446 ])"
493,F47D12.4,"array([28.22787914,  0.9364402 ])"
494,C27A12.7,"array([19.45320204,  2.24924984])"
495,R01H2.6,"array([20.29121315,  0.38533764])"
496,C27A12.8,"array([19.71830734, -1.33457887])"
497,F28B12.3,"array([21.77840299, 11.90057646])"
498,C27D6.3,"array([29.71986607, -3.65618881])"
499,C27H5.1,"array([18.3583579, 13.1607548])"
500,C27H5.4,"array([25.7649267 ,  7.69103072])"
501,Y57A10A.8,"array([25.08853114,  5.83853685])"
502,C27H6.2,"array([  3.61866536, -19.21314535])"
