# index, _pos
538,"array([-8.10323491,  5.09336603])"
539,"array([-7.65746192,  5.10813909])"
540,"array([-9.3465601 ,  3.79504467])"
541,"array([-9.09643625,  4.15906513])"
542,"array([-7.49979724,  6.35815328])"
543,"array([-9.3692371 ,  4.42678105])"
544,"array([-8.9251821 ,  3.51341876])"
545,"array([  0.5263631 , -15.49812745])"
546,"array([-32.66037093, -20.09824216])"
547,"array([-7.81183505,  3.84561119])"
548,"array([-9.55703609,  4.09316829])"
549,"array([-8.7597337 ,  3.88567335])"
550,"array([-36.9899222 ,  17.88535215])"
551,"array([ -0.17851829, -17.78010036])"
552,"array([-22.61764682,   0.05717261])"
553,"array([-22.44074303,  -0.84570731])"
554,"array([-19.55611469,  -2.9913345 ])"
555,"array([-23.45184533,   0.18685283])"
556,"array([-23.88065363,   0.53613538])"
557,"array([-17.34325185,  26.21094115])"
558,"array([-20.92796131,  -1.1804122 ])"
559,"array([-24.27989795,  -0.84994499])"
560,"array([-25.00463203,   0.25157951])"
561,"array([-21.18828832,  -7.31918715])"
562,"array([-24.07735226,   0.08752943])"
563,"array([-15.81387111,  22.64971656])"
564,"array([-24.5249574 ,   1.46871237])"
565,"array([-23.82512184,  -0.40057347])"
566,"array([-25.19063229,  -5.43270222])"
567,"array([-21.68266188,   2.48740183])"
568,"array([-22.3426234 ,   1.97277899])"
569,"array([-22.91546889,   0.98386166])"
570,"array([-21.67495412,   0.9193722 ])"
571,"array([-22.11541344,   0.64337814])"
572,"array([-22.45715651,   0.93393707])"
573,"array([-22.96611322,   0.42933155])"
574,"array([-22.53489609,  -0.40849465])"
575,"array([-24.34117717,  -5.54509642])"
576,"array([-23.5001904 ,  27.14330904])"
577,"array([-20.41375513,  21.00731165])"
578,"array([-23.80042127,  -3.02202614])"
579,"array([-15.53754876,  25.09095022])"
580,"array([-25.64574985,  -6.66818386])"
581,"array([-24.81896486,  -6.29844361])"
582,"array([-20.28042822,  -4.83731644])"
583,"array([-21.47662597,  -5.16582383])"
584,"array([-7.31981704, 23.25803911])"
585,"array([-25.56009453,  -7.27926299])"
586,"array([-25.29740578,  -6.06150644])"
587,"array([-24.69134127,  -1.71627282])"
588,"array([-22.86629349,  24.21892288])"
589,"array([-26.17003031,  -2.03183183])"
590,"array([-24.29816768,  -2.20309743])"
591,"array([-26.10626773, -23.22918734])"
592,"array([-23.62483278,  -0.93062964])"
593,"array([-20.17754531,  27.58451057])"
594,"array([-19.43244177,  27.77735944])"
595,"array([-23.05196862,  -0.78993714])"
596,"array([-23.83376318,  -2.03866002])"
597,"array([-36.40789163,  12.85825885])"
598,"array([-36.772726  ,  12.16019429])"
599,"array([-23.83878405,  -1.65859799])"
600,"array([9.70007076, 9.28672462])"
601,"array([-29.15404315,  -1.59770562])"
602,"array([-24.2329327 ,  -1.70328849])"
603,"array([-5.46578244, 25.2633922 ])"
604,"array([-4.77245971, 25.63335624])"
605,"array([-23.25000188,  -2.85178173])"
606,"array([-27.96944495,  -1.84142592])"
607,"array([-25.85288693,  -1.63346871])"
608,"array([-25.33240325, -23.40040042])"
609,"array([-24.22718404,  -2.64194448])"
610,"array([-27.94021405,  -0.97647489])"
611,"array([-24.00430908,  -1.19724591])"
612,"array([-11.84513821, -22.5252931 ])"
613,"array([-24.85931811,   0.77838989])"
614,"array([-11.16914328, -22.93310048])"
615,"array([-23.18655178,  -1.18148758])"
616,"array([-23.35341677,  -1.60400011])"
617,"array([-24.93078449,  -2.40297056])"
618,"array([-34.4545934,  15.523139 ])"
619,"array([-27.34071031,  18.85207278])"
620,"array([-27.91806798,  -3.14579063])"
621,"array([-27.02573747,  -3.41230703])"
622,"array([-17.72968136,   0.51150781])"
623,"array([-17.54014031,  -0.9460945 ])"
624,"array([-17.1750113,  -2.0986258])"
625,"array([-21.38928673,   0.21435263])"
626,"array([-21.19235867,  -0.5985285 ])"
627,"array([-24.5796066 ,  -3.19232298])"
628,"array([-23.65824635,  -6.02234437])"
629,"array([-22.73381623,  -7.12927168])"
630,"array([-20.96820184,  -6.6093467 ])"
631,"array([-24.3916571 ,  -3.91125543])"
632,"array([-11.35798606,  25.56555758])"
633,"array([-20.41549574, -25.48229753])"
634,"array([-32.34265096,  14.84814431])"
635,"array([-22.25595059,  -7.10628101])"
636,"array([-23.30581521,  -7.87499961])"
637,"array([-21.90036512,  -6.85203673])"
638,"array([-26.21532525,  -4.82552126])"
639,"array([-22.50724922,  -7.93481045])"
640,"array([-21.76170479,  -3.05510936])"
641,"array([-32.06303194,  17.31334021])"
642,"array([-21.27388022,  -5.71650835])"
643,"array([-21.62776381,  -7.48811383])"
644,"array([-21.65679386,  -8.02345081])"
645,"array([-22.10817569,  -7.73174083])"
646,"array([-23.65321284,  -6.81866958])"
647,"array([-22.7548239 ,  -6.71493331])"
648,"array([-17.9350882 ,  -6.55006477])"
649,"array([-33.32316196,  22.23616301])"
